#OTU ID	Callimicos	WartyPig	Baboon	Chimp	Gorilla	Orangutan	Saki	Urial	Colobus	RingTailedLemur	Giraffe	Okapi	BigHornSheep	Gazelle	Lion	PolarBear	Springbok	BlackLemur	BushDog	Hyena	SpectacledBear	BlackBear
otu223	0	0	13	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu224	0	0	0	3	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu225	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
otu226	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0	0	5	0	0	0	0	0
otu227	0	0	10	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu228	0	0	0	0	0	0	0	3	0	0	10	3	11	0	0	0	1	0	0	0	0	0
otu229	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
otu230	0	3	0	6	1	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
otu231	0	0	5	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu232	0	1	0	0	0	0	0	6	0	0	0	2	1	16	0	0	3	0	0	0	0	0
otu233	0	0	0	0	0	0	0	1	0	0	0	9	0	18	0	0	1	0	0	0	0	0
otu234	0	0	0	0	0	0	0	4	0	0	1	2	9	13	0	0	0	0	0	0	0	0
otu235	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
otu236	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	10	0	0	0
otu237	0	0	0	0	0	0	0	1	0	0	0	0	0	28	0	0	0	0	0	0	0	0
otu238	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
otu239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
otu240	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
otu241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
otu242	0	0	0	0	0	0	0	3	12	0	7	0	1	0	0	0	1	0	0	0	0	0
otu243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
otu244	0	0	7	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu245	0	0	0	0	0	0	0	15	0	0	0	1	8	6	0	0	0	0	0	0	0	0
otu246	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	16	0	0
otu247	0	0	0	0	0	0	0	6	3	0	0	0	11	9	0	0	0	0	0	0	0	0
otu248	0	0	0	0	0	0	0	4	0	0	4	10	9	0	0	0	0	0	0	0	0	0
otu249	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu250	0	2	0	9	2	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
otu251	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
otu252	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu253	0	0	0	0	0	0	0	6	0	0	0	9	0	0	0	0	13	0	0	0	0	0
otu254	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
otu256	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu257	0	0	0	0	0	0	0	3	5	0	0	0	13	5	0	0	0	0	0	0	0	0
otu258	0	0	1	3	4	5	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0
otu259	0	0	0	0	0	0	0	6	0	0	2	1	13	1	0	0	3	0	0	0	0	0
otu260	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0
otu261	0	0	0	0	0	0	0	0	18	0	0	0	5	0	0	0	0	0	0	0	0	0
otu262	0	0	0	6	7	3	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
otu263	0	0	10	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0
otu265	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	1
otu267	0	0	0	0	0	0	0	3	0	0	0	7	5	10	0	0	0	0	0	0	0	0
otu268	0	0	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu269	0	0	0	0	0	0	0	0	0	0	10	0	4	10	0	0	0	0	0	0	0	0
otu270	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu271	0	0	0	0	0	0	0	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0
otu272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0
otu273	0	0	0	0	0	0	0	0	0	18	0	0	4	0	0	0	0	0	0	0	0	0
otu274	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu275	0	0	5	9	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu276	0	10	0	0	0	0	0	1	0	0	2	3	4	1	0	0	1	0	0	0	0	0
otu277	0	0	0	0	0	0	0	11	1	0	1	2	1	9	0	0	1	0	0	0	0	0
